Gene	Human_CBC	Human_DFC	Human_STR	Human_MD	Human_HIP	Monkey_DCBC	Monkey_DDFC	Monkey_DSTR	Monkey_DMD	Monkey_DHIP	Monkey_CCBC	Monkey_CDFC	Monkey_CSTR	Monkey_CMD	Monkey_CHIP	Monkey_BCBC	Monkey_BDFC	Monkey_BSTR	Monkey_BMD	Monkey_BHIP	Mouse_CBC	Mouse_DFC	Mouse_STR	Mouse_MD	Mouse_HIP
PDHB	1.46320922667217	1.56059340210116	1.72752524474686	1.73774160176227	1.6487634992785	1.21646682025315	1.14328211746345	1.16279411840808	1.26613377336337	1.1816786576422	1.13477154267864	0.93822014170318	1.12329066410399	1.1174657911868	1.22923657866943	1.09906088027858	0.862851244027737	0.998091606310693	1.11688834857666	1.09232183022184	2.35451192896281	2.22627071711087	2.22696662616598	2.25044739054299	2.21496738641049
PDIA3	1.90582047031725	1.77281538685921	1.64776039010975	1.79376714936221	1.6936519184653	1.33008939752331	1.26423024415224	1.15161485796877	1.27211179934296	1.17772298375958	1.45829615936485	1.24991306569856	1.36664280294651	1.28566771402074	1.45364630781013	1.3749900145763	1.27142346669402	1.37620468992913	1.38889787966869	1.46180683527564	2.45812915679442	2.28037882393005	2.23075650895932	2.33598524196456	2.13067379318139
PDIA4	1.13854710889049	0.806483864592115	0.641227622231111	0.891210212426005	0.682124629360412	0.972458327618625	0.769548354695625	0.79751840537756	0.856382094771982	0.780099477233678	1.13505055901178	0.84120925677671	0.902522061760841	0.917303839644308	0.982508703922784	1.06988011864436	0.930567677374452	1.00333777262789	1.00171832912017	1.06841751340385	1.65509564109946	1.43397343868717	1.37045311487004	1.32897144568341	1.3375477114349
PDIA6	1.33353104422918	1.22636511941713	0.847091523763745	1.13889778814688	1.10354202764333	0.937227258904553	0.853499968383682	0.743524378387333	0.840314289104146	0.807603620916328	1.10586434532105	0.986264613665715	0.880466702369454	0.94675857794555	0.978170778789541	1.04454438052344	0.972742942815784	0.972853395638541	1.03372039591558	1.09218414960462	0.937176276837606	0.597230215376288	0.565103021284268	0.461928679001192	0.373918679747746
PDK2	-1.54656840051825	-0.198764603757945	-0.208093639201854	-0.185438882723903	-0.0359830352814937	0.192819672721459	0.123244944599095	0.390047259550257	0.270733706728921	0.398634800205195	-0.216119070530668	-0.505692447341178	0.064173644597704	0.146067899087802	0.1627939929856	-0.0943535149563287	-0.338938113392004	-0.0119671659282286	-0.026766633973115	-0.131339670944072	0.459796905756269	0.773081562538623	0.464671127260629	0.609675876911166	0.578905372373046
PDK3	-1.15599267634227	-1.24046488022777	0.098338219324532	0.222107915785202	-0.0318409117031867	-0.116850967941134	-0.0719192953420189	0.328991498822607	0.234910395995412	0.414992940433156	-0.295887073418235	-2.59231051144552	-0.224742709676789	0.139210505676859	0.0555019918885049	-0.401134435884461	-2.81694269260871	-2.93484273388316	-0.201195121836555	-0.289621243155972	0.171148913939646	0.72283832049224	0.703433743241353	0.563018867044858	0.747492558831238
PDLIM1	-0.427237257918005	-1.24488776783631	-1.21304834700082	-1.17396150496406	-1.19772216190289	0.292736353569095	0.13439078048533	-0.0756661819014457	-0.0617055020748446	-0.0513608302710103	0.672979681501228	-0.189467610845907	-0.20009388261548	-0.0196480153326458	-0.230605692987568	0.493601945950285	0.0195184703041721	0.307894298594624	0.013356828259924	0.322454217728679	0.0416273791501376	0.259054547756415	0.0705233167527672	0.12366535747046	-0.241041398128155
PDLIM3	0.56752324784391	-0.395920567720574	-0.387919395305224	-0.405479109432683	-0.3929545665124	0.479234047654287	-0.268595689659173	-0.101084150877496	-0.317544337812855	0.174346694587363	0.661599373359617	-0.000967633960906132	0.260545688476497	0.131404265540272	0.312032759996276	0.55237794136238	-0.311449414692211	0.495409844305998	0.353461791339216	0.651105382870311	-0.746603675426025	-0.830837318172774	-1.02854269331723	-0.377897498592349	-1.67020095605782
PDLIM5	0.498022951390104	-0.108338230769749	-0.059273344451866	-0.0815570693315801	-0.299149646912212	0.323442191822573	0.0643649165312815	0.225822556426105	0.196029095764148	0.169830516172383	0.407770666571629	-0.0807613791179519	0.136211726206712	0.289624944762778	-0.00757521484743174	0.335246738601536	-0.164540031401307	0.226436893991826	0.326365087924795	0.230459618490833	0.944577507397006	0.564378864807502	0.707223626034699	0.356950406802	0.467791090389239
PDP1	-0.196275759733999	0.200123168529925	0.304266478736225	0.065791448010916	-0.15198237781627	0.487379116254063	0.567506308256931	0.651268970618438	0.57169008507513	0.56504848919131	0.450882192334972	0.555300130521646	0.572887568890169	0.553566951615559	0.578759336510498	0.499332850634789	0.525747269333737	0.494535916605281	0.552955490868541	0.553837629352958	0.522707365511173	0.479351839805933	0.711013508828042	0.776863495598769	0.437138874669567
