ENSG00000019186	CYP24A1	Nucleoplasm
ENSG00000019505	SYT13	Vesicles
ENSG00000019549	SNAI2	Nucleoplasm
ENSG00000019582	CD74	Golgi apparatus
ENSG00000019995	ZRANB1	Nucleoplasm
ENSG00000020129	NCDN	Cytosol
ENSG00000020256	ZFP64	Nucleoplasm
ENSG00000020426	MNAT1	Nucleoplasm
ENSG00000020577	SAMD4A	Cell Junctions
ENSG00000020633	RUNX3	Nucleoplasm
ENSG00000020633	RUNX3	Vesicles
ENSG00000020922	MRE11	Nucleoplasm
ENSG00000021355	SERPINB1	Cytoplasmic bodies
ENSG00000021461	CYP3A43	Cytosol
ENSG00000021574	SPAST	Nucleoplasm
ENSG00000021762	OSBPL5	Vesicles
ENSG00000021776	AQR	Nucleoplasm
ENSG00000021826	CPS1	Nucleoli
ENSG00000021826	CPS1	Nucleoli rim
ENSG00000022267	FHL1	Cytosol
ENSG00000022277	RTF2	Nucleoli
ENSG00000022277	RTF2	Nucleoplasm
ENSG00000022355	GABRA1	Plasma membrane
ENSG00000022556	NLRP2	Cytosol
ENSG00000022556	NLRP2	Golgi apparatus
ENSG00000022556	NLRP2	Vesicles
ENSG00000022567	SLC45A4	Plasma membrane
ENSG00000022840	RNF10	Nucleoplasm
ENSG00000022976	ZNF839	Plasma membrane
ENSG00000023171	GRAMD1B	Endoplasmic reticulum
ENSG00000023171	GRAMD1B	Plasma membrane
ENSG00000023191	RNH1	Cytosol
ENSG00000023191	RNH1	Nucleoplasm
ENSG00000023228	NDUFS1	Mitochondria
ENSG00000023287	RB1CC1	Cytosol
ENSG00000023330	ALAS1	Mitochondria
ENSG00000023445	BIRC3	Cytosol
ENSG00000023445	BIRC3	Nucleoplasm
ENSG00000023516	AKAP11	Cytosol
ENSG00000023516	AKAP11	Nucleoli
ENSG00000023516	AKAP11	Plasma membrane
ENSG00000023572	GLRX2	Nucleoplasm
ENSG00000023608	SNAPC1	Nucleoli
ENSG00000023697	DERA	Nucleoplasm
ENSG00000023734	STRAP	Cytosol
ENSG00000023892	DEF6	Nucleoplasm
ENSG00000023902	PLEKHO1	Mitochondria
ENSG00000023909	GCLM	Cytosol
ENSG00000023909	GCLM	Nucleoplasm
ENSG00000024048	UBR2	Nucleoplasm
ENSG00000024422	EHD2	Plasma membrane
ENSG00000024526	DEPDC1	Nucleoplasm
ENSG00000024862	CCDC28A	Plasma membrane
ENSG00000025039	RRAGD	Nucleoplasm
ENSG00000025156	HSF2	Nucleoplasm
ENSG00000025293	PHF20	Nucleoplasm
ENSG00000025423	HSD17B6	Nucleoplasm
ENSG00000025423	HSD17B6	Vesicles
ENSG00000025434	NR1H3	Nucleoplasm
ENSG00000025708	TYMP	Golgi apparatus
ENSG00000025708	TYMP	Nuclear bodies
ENSG00000025770	NCAPH2	Nucleoplasm
ENSG00000025772	TOMM34	Cytosol
ENSG00000025796	SEC63	Endoplasmic reticulum
ENSG00000025800	KPNA6	Cytosol
ENSG00000026025	VIM	Intermediate filaments
ENSG00000026103	FAS	Plasma membrane
ENSG00000026508	CD44	Plasma membrane
ENSG00000026559	KCNG1	Vesicles
